,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
2002-05-08,30.13,31.88,30.0,31.77,129741500,32.3,31.974312251511375,34.6414,33.9291090243939,36.75415,39.16891301843182,45.96434132188332,-1.3684392503092475,-1.2314852786893404,-0.13695397161990708,36.015847144304026,28.584152855695972,32.3,50.45180722891563,18.80559799667446,113.74422569339794,36.34162469452489,-413946900,31.28,33.805,1.9061893648566852,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3006732362358258,23.140494194053815
2002-05-09,31.57,31.89,30.8,30.95,106477200,32.197500000000005,31.876758703748386,34.5724,33.81228121951571,36.70065,39.0871327893927,42.45512753675015,-1.280972935182625,-1.2413828099879973,-0.03959012519462757,35.943430458488564,28.451569541511446,32.197500000000005,45.259391771019665,33.290558160949196,69.1970589911606,34.606062844124956,-520424100,31.1325,33.805,1.9216217794128396,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2856251479332668,17.22375830826529
2002-05-10,31.01,31.09,29.5,29.56,112282800,31.9995,31.65611501767711,34.488,33.64552509326019,36.63525,38.992335448204706,37.26187836191678,-1.3087304041269263,-1.2548523288157831,-0.05387807531114319,35.861709082873716,28.13729091712629,31.9995,20.652173913043438,38.78779097099291,-15.619060202855508,33.8987021127093,-632706900,31.1325,33.805,1.9812714551275425,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3073662087951763,16.73358934977678
2002-05-13,29.87,30.98,29.67,30.76,93971200,31.848000000000003,31.570770730279293,34.388400000000004,33.53236724646567,36.580799999999996,38.910421662650435,43.66826661603727,-1.2198369065291317,-1.2478492443584528,0.02801233782932111,35.65469725613058,28.04130274386942,31.848000000000003,47.852760736196316,37.92144214008648,67.71539792841598,33.241867147823335,-538735700,31.0825,33.805,1.952794488865966,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.315411479595521,23.274651588915518
2002-05-14,32.05,32.65,31.87,32.57,107284700,31.716500000000003,31.66593542263365,34.296800000000005,33.4946273544474,36.5406,38.847332889887745,51.682598536316604,-0.9919022641772557,-1.1966598483222133,0.2047575841449576,35.22061914749371,28.2123808525063,31.716500000000003,95.1834862385321,54.56280696259062,176.42484479041502,31.05919554297782,-431451000,31.247500000000002,33.805,1.7975751942278135,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3564535167672693,30.540928842165002
2002-05-15,32.08,33.63,31.85,32.81,150522100,31.606,31.774893953811397,34.2046,33.46777922290045,36.5039,38.787259925809266,52.64465500734815,-0.7828719630277519,-1.113902271263321,0.3310303082355692,34.813263007586364,28.398736992413635,31.606,84.26103646833013,75.76576114768618,101.25158710961804,29.385209052567436,-280928900,31.4925,33.805,1.6452912076135675,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3867068369981788,40.315962385952695
2002-05-16,32.54,33.05,32.22,32.86,89916300,31.5315,31.87823738678174,34.1098,33.443944743571016,36.4657,38.7282822151047,52.85526242548636,-0.6061915622635787,-1.0123601294633726,0.4061685671997939,34.543630641229214,28.519369358770792,31.5315,85.22072936660263,88.22175069115497,79.21868671749795,27.830793025757792,-191012600,31.4925,33.805,1.5451904157767717,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3469420629268802,40.51729534516663
2002-05-17,33.29,33.41,32.47,32.93,82695000,31.455000000000002,31.978405254707287,34.0148,33.4237900477447,36.42485,38.67058786470565,53.16927587620778,-0.4552745353142882,-0.9009430106335559,0.4456684753192677,34.234471172693084,28.675528827306923,31.455000000000002,86.5642994241842,85.34868841970565,88.9955214331413,26.658024185027976,-108317600,31.4925,33.805,1.4258386267139185,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.317874772717817,46.46313248623583
2002-05-20,32.6,32.7,31.94,32.21,78144200,31.386000000000003,32.00046189711612,33.8856,33.37619043802923,36.37615,38.60630340834042,49.5160215140587,-0.3892822830284963,-0.798610865112544,0.40932858208404765,34.01445505950393,28.757544940496075,31.386000000000003,72.74472168905946,81.50991682661542,55.21433141394752,25.083150001130356,-186461800,31.762500000000003,33.805,1.3483689952398632,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2944551460951157,40.2469794185657
2002-05-21,32.36,32.59,31.0,31.33,104180000,31.302,31.936608383105057,33.7416,33.29594767575357,36.3243,38.53390237940171,45.40926896524564,-0.4033421163313271,-0.7195571153563006,0.3162149990249735,33.82265547027588,28.781344529724112,31.302,55.854126679462496,71.72104926423539,24.12028150991671,23.742590232961824,-290641800,31.762500000000003,33.805,1.2930689727840416,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3155654928026077,40.38113233608176
